age,fitness_level,primary_goal,preferred_time,bmi_category,activity_level,workout_type
25,beginner,weight_loss,morning,normal,low,cardio
32,intermediate,muscle_gain,evening,overweight,medium,strength
28,advanced,endurance,morning,normal,high,cardio
45,beginner,flexibility,afternoon,overweight,low,yoga
22,intermediate,weight_loss,evening,underweight,medium,cardio
35,advanced,muscle_gain,morning,normal,high,strength
29,beginner,general_fitness,afternoon,normal,low,full_body
41,intermediate,weight_loss,evening,overweight,medium,cardio
26,advanced,endurance,morning,normal,high,hiit
33,beginner,flexibility,afternoon,normal,low,yoga
19,intermediate,muscle_gain,evening,underweight,medium,strength
38,advanced,weight_loss,morning,overweight,high,hiit
27,beginner,general_fitness,afternoon,normal,low,full_body
44,intermediate,flexibility,evening,overweight,medium,yoga
31,advanced,muscle_gain,morning,normal,high,strength
24,beginner,weight_loss,afternoon,normal,low,cardio
36,intermediate,endurance,evening,normal,medium,cardio
42,advanced,flexibility,morning,overweight,high,yoga
23,beginner,muscle_gain,afternoon,underweight,low,strength
39,intermediate,weight_loss,evening,overweight,medium,hiit
30,advanced,general_fitness,morning,normal,high,full_body
21,beginner,endurance,afternoon,underweight,low,cardio
47,intermediate,flexibility,evening,overweight,medium,yoga
34,advanced,muscle_gain,morning,normal,high,strength
26,beginner,weight_loss,afternoon,normal,low,cardio
40,intermediate,general_fitness,evening,overweight,medium,full_body
29,advanced,endurance,morning,normal,high,hiit
25,beginner,flexibility,afternoon,normal,low,yoga
37,intermediate,muscle_gain,evening,normal,medium,strength
32,advanced,weight_loss,morning,overweight,high,cardio
28,beginner,general_fitness,afternoon,normal,low,full_body
43,intermediate,endurance,evening,overweight,medium,cardio
24,advanced,flexibility,morning,normal,high,yoga
31,beginner,muscle_gain,afternoon,underweight,low,strength
46,intermediate,weight_loss,evening,overweight,medium,hiit
27,advanced,general_fitness,morning,normal,high,full_body
22,beginner,endurance,afternoon,underweight,low,cardio
35,intermediate,flexibility,evening,normal,medium,yoga
41,advanced,muscle_gain,morning,overweight,high,strength
26,beginner,weight_loss,afternoon,normal,low,cardio
33,intermediate,general_fitness,evening,normal,medium,full_body
29,advanced,endurance,morning,normal,high,hiit
45,beginner,flexibility,afternoon,overweight,low,yoga
23,intermediate,muscle_gain,evening,underweight,medium,strength
38,advanced,weight_loss,morning,overweight,high,cardio
30,beginner,general_fitness,afternoon,normal,low,full_body
42,intermediate,endurance,evening,overweight,medium,cardio
25,advanced,flexibility,morning,normal,high,yoga
36,beginner,muscle_gain,afternoon,normal,low,strength
31,intermediate,weight_loss,evening,overweight,medium,hiit
28,advanced,general_fitness,morning,normal,high,full_body
44,beginner,endurance,afternoon,overweight,low,cardio
21,intermediate,flexibility,evening,underweight,medium,yoga
39,advanced,muscle_gain,morning,normal,high,strength
27,beginner,weight_loss,afternoon,normal,low,cardio
34,intermediate,general_fitness,evening,normal,medium,full_body
40,advanced,endurance,morning,overweight,high,hiit
24,beginner,flexibility,afternoon,normal,low,yoga
32,intermediate,muscle_gain,evening,underweight,medium,strength
47,advanced,weight_loss,morning,overweight,high,cardio
26,beginner,general_fitness,afternoon,normal,low,full_body
37,intermediate,endurance,evening,normal,medium,cardio
29,advanced,flexibility,morning,normal,high,yoga
41,beginner,muscle_gain,afternoon,overweight,low,strength
22,intermediate,weight_loss,evening,underweight,medium,hiit
35,advanced,general_fitness,morning,normal,high,full_body
43,beginner,endurance,afternoon,overweight,low,cardio
28,intermediate,flexibility,evening,normal,medium,yoga
33,advanced,muscle_gain,morning,normal,high,strength
46,beginner,weight_loss,afternoon,overweight,low,cardio
25,intermediate,general_fitness,evening,normal,medium,full_body
38,advanced,endurance,morning,overweight,high,hiit
31,beginner,flexibility,afternoon,normal,low,yoga
42,intermediate,muscle_gain,evening,overweight,medium,strength
27,advanced,weight_loss,morning,normal,high,cardio
23,beginner,general_fitness,afternoon,underweight,low,full_body
36,intermediate,endurance,evening,normal,medium,cardio
44,advanced,flexibility,morning,overweight,high,yoga
30,beginner,muscle_gain,afternoon,normal,low,strength
39,intermediate,weight_loss,evening,overweight,medium,hiit
26,advanced,general_fitness,morning,normal,high,full_body
21,beginner,endurance,afternoon,underweight,low,cardio
45,intermediate,flexibility,evening,overweight,medium,yoga
34,advanced,muscle_gain,morning,normal,high,strength
29,beginner,weight_loss,afternoon,normal,low,cardio
41,intermediate,general_fitness,evening,overweight,medium,full_body
24,advanced,endurance,morning,normal,high,hiit
37,beginner,flexibility,afternoon,normal,low,yoga
32,intermediate,muscle_gain,evening,underweight,medium,strength
47,advanced,weight_loss,morning,overweight,high,cardio
28,beginner,general_fitness,afternoon,normal,low,full_body
35,intermediate,endurance,evening,normal,medium,cardio
43,advanced,flexibility,morning,overweight,high,yoga
22,beginner,muscle_gain,afternoon,underweight,low,strength
40,intermediate,weight_loss,evening,overweight,medium,hiit
31,advanced,general_fitness,morning,normal,high,full_body
46,beginner,endurance,afternoon,overweight,low,cardio
25,intermediate,flexibility,evening,normal,medium,yoga
38,advanced,muscle_gain,morning,normal,high,strength
27,beginner,weight_loss,afternoon,normal,low,cardio
33,intermediate,general_fitness,evening,normal,medium,full_body
42,advanced,endurance,morning,overweight,high,hiit
26,beginner,flexibility,afternoon,normal,low,yoga
36,intermediate,muscle_gain,evening,normal,medium,strength
44,advanced,weight_loss,morning,overweight,high,cardio
23,beginner,general_fitness,afternoon,underweight,low,full_body
39,intermediate,endurance,evening,overweight,medium,cardio
30,advanced,flexibility,morning,normal,high,yoga
